num_decks,dealer_rule,penetration,das,surrender,num_games,win_rate,ev,rtp,hands_played
1,S17,0.5,True,True,10000,43.14440611138492,-0.05096106456382454,94.90389354361754,10145
1,S17,0.5,True,False,10000,43.30049261083744,-0.04334975369458128,95.66502463054188,10150
1,S17,0.5,False,True,10000,42.7192118226601,-0.057438423645320195,94.25615763546799,10150
1,S17,0.5,False,False,10000,43.567280244118514,-0.03858647504675657,96.14135249532434,10159
1,S17,0.65,True,True,10000,42.89515175404021,-0.057351202207331496,94.26487977926685,10148
1,S17,0.65,True,False,10000,43.33825701624816,-0.04716888232397833,95.28311176760216,10155
1,S17,0.65,False,True,10000,43.44020456333595,-0.04356805664830842,95.64319433516916,10168
1,S17,0.65,False,False,10000,43.18652083949158,-0.04719676815449798,95.2803231845502,10149
1,S17,0.75,True,True,10000,43.13029765424798,-0.04859057756751429,95.14094224324857,10146
1,S17,0.75,True,False,10000,43.464535858735324,-0.04606885666370721,95.39311433362928,10137
1,S17,0.75,False,True,10000,43.58999606144151,-0.04785348562426152,95.21465143757385,10156
1,S17,0.75,False,False,10000,43.42468454258675,-0.0422910094637224,95.77089905362776,10144
1,H17,0.5,True,True,10000,43.466272772033484,-0.03879862136878385,96.12013786312161,10155
1,H17,0.5,True,False,10000,43.461992910594724,-0.04844426939740055,95.15557306025994,10156
1,H17,0.5,False,True,10000,43.467980295566505,-0.044729064039408864,95.5270935960591,10150
1,H17,0.5,False,False,10000,43.547430830039524,-0.04456521739130435,95.54347826086956,10120
1,H17,0.65,True,True,10000,42.938912464225794,-0.0566466002171124,94.33533997828876,10133
1,H17,0.65,True,False,10000,43.35864313184104,-0.04782565821911054,95.21743417808895,10141
1,H17,0.65,False,True,10000,43.64030763163084,-0.04013015184381779,95.98698481561823,10142
1,H17,0.65,False,False,10000,42.96274393849793,-0.05095604178986793,94.90439582101321,10146
1,H17,0.75,True,True,10000,43.45812807881774,-0.043448275862068966,95.6551724137931,10150
1,H17,0.75,True,False,10000,43.50137849547066,-0.04568727845608507,95.4312721543915,10156
1,H17,0.75,False,True,10000,44.09238969499556,-0.02517026946994374,97.48297305300562,10131
1,H17,0.75,False,False,10000,44.358014966522255,-0.025797558093737693,97.42024419062622,10156
2,S17,0.5,True,True,10000,42.94998030720756,-0.05799527372981489,94.20047262701851,10156
2,S17,0.5,True,False,10000,42.040977147360124,-0.06658786446020488,93.34121355397951,10152
2,S17,0.5,False,True,10000,41.79398718580582,-0.07235091177920158,92.76490882207983,10145
2,S17,0.5,False,False,10000,42.90487421383648,-0.05345911949685535,94.65408805031447,10176
2,S17,0.65,True,True,10000,43.08009422850412,-0.04858657243816254,95.14134275618375,10188
2,S17,0.65,True,False,10000,42.49558563861095,-0.0594467333725721,94.05532666274279,10194
2,S17,0.65,False,True,10000,42.726557892667586,-0.05582858266168665,94.41714173383133,10174
2,S17,0.65,False,False,10000,42.75726243229936,-0.05307730182176268,94.69226981782373,10155
2,S17,0.75,True,True,10000,43.57409958669553,-0.039755953552450304,96.02440464475497,10162
2,S17,0.75,True,False,10000,42.3992133726647,-0.06460176991150443,93.53982300884955,10170
2,S17,0.75,False,True,10000,42.99783336616112,-0.04746897774276147,95.25310222572385,10154
2,S17,0.75,False,False,10000,42.189191849591495,-0.06772320110247071,93.22767988975293,10159
2,H17,0.5,True,True,10000,42.85152022040736,-0.05451146315064449,94.54885368493555,10163
2,H17,0.5,True,False,10000,43.25283390832923,-0.04908822079842287,95.0911779201577,10145
2,H17,0.5,False,True,10000,43.88135926144176,-0.033981536043999214,96.60184639560008,10182
2,H17,0.5,False,False,10000,43.66197183098591,-0.0370333891460652,96.29666108539348,10153
2,H17,0.65,True,True,10000,43.79547689282202,-0.032251720747295966,96.7748279252704,10170
2,H17,0.65,True,False,10000,43.46884535879516,-0.04203169603307412,95.79683039669258,10159
2,H17,0.65,False,True,10000,43.698387731026344,-0.039028706252457725,96.09712937475423,10172
2,H17,0.65,False,False,10000,42.417690417690416,-0.06515970515970516,93.48402948402949,10175
2,H17,0.75,True,True,10000,42.22418705177326,-0.07014441497200118,92.98555850279988,10179
2,H17,0.75,True,False,10000,43.466299862448416,-0.04676753782668501,95.3232462173315,10178
2,H17,0.75,False,True,10000,43.17176285517648,-0.04463671222102055,95.53632877789795,10171
2,H17,0.75,False,False,10000,43.08798896443,-0.05222189378263868,94.77781062173614,10149
